Savings account ID,SSN,Account Balance,Current Interest Rate,Date Account Opened,Pass Book Accounts,CD Due Date,ATMcard
SA21,423148894,250.23,0.46,6/26/2017,NA,NA,TRUE
SA22,423453245,492.83,0.55,7/12/2021,NA,NA,TRUE
SA23,677879013,399.03,0.51,3/6/2012,CD001,4/29/2028,FALSE
SA24,345812332,412.56,0.48,4/26/2014,NA,NA,TRUE
SA25,345879912,593.45,0.49,8/29/2023,CD004,6/26/2029,FALSE
SA26,235445789,956.29,0.5,5/4/2019,CD003,5/22/2027,FALSE
SA27,436789213,264.97,0.46,5/22/2015,NA,NA,TRUE
SA28,233435656,953.94,0.54,11/5/2016,NA,NA,FALSE
SA29,563432913,396.34,0.51,11/1/2014,CD002,9/5/2028,FALSE
SA30,345679898,480.35,0.49,9/5/2017,NA,NA,FALSE
