SSN,Account Type,Balance,Overdraft backup account,Overdrafts this month,Date Opened,ATM card
423453245,Gold,5502.06,SA21,0,1/3/2024,FALSE
345653425,TMB,10070.71,,0,5/24/2017,FALSE
423148894,TMB,2524.48,SA22,1,3/5/2020,TRUE
677879013,Gold,73547.93,SA23,0,8/30/2021,FALSE
345599870,Gold,8823.67,,0,7/15/2023,FALSE
423567890,Gold,21017.82,,0,6/10/2013,FALSE
345812332,TMB,155.28,SA24,0,10/27/2015,TRUE
345879912,Gold,14231.79,SA25,0,12/1/2022,FALSE
423168945,Gold,33115.35,,1,9/12/2021,FALSE
235445789,TMB,532.93,SA26,0,2/23/2019,TRUE
436789213,Gold,12433.9,SA7,0,8/2/2018,FALSE
233435656,TMB,4141.61,SA28,0,3/31/2022,TRUE
435678787,TMB,1703.39,,1,2/27/2024,TRUE
563432913,Gold,7506.26,SA29,0,4/1/2018,FALSE
345679898,TMB,277.15,SA30,0,7/4/2022,TRUE
