SSN,Current Balance,Current Interest Rate,Date Payment Due,Date Notified of Payment,Current Payment Due,Date Since Last Payment Made,Missed Payment Flag,Term Length (Years),Collateral,Repayment Plan Type,Loan Type,Credit Card Limit
345653425,12417.48,4.05,5/10/2024,5/1/2024,484.72,3/25/2024,TRUE,25,Car,,Long Term,0
677879013,39251.28,2.22,3/10/2024,3/1/2024,1174.16,2/18/2024,FALSE,24,Car,,Long Term,0
345879912,12200.8,2.58,4/10/2024,4/1/2024,1261.92,3/22/2024,FALSE,7,Land,,Long Term,0
235445789,23552.65,3.92,5/10/2024,5/1/2024,306.36,3/23/2024,TRUE,23,Land,,Long Term,0
233435656,2801.63,2.02,3/10/2024,3/1/2024,281.05,2/9/2024,FALSE,0,,Installment,Short Term,0
435678787,4973.78,3.25,3/10/2024,3/1/2024,346.74,2/5/2024,TRUE,0,,Lump Sum,Short Term,0
345679898,2992.16,1.53,4/10/2024,4/1/2024,495.95,3/5/2024,FALSE,0,,Lump Sum,Short Term,0
423453245,5208.73,1.7,3/10/2024,3/1/2024,503.67,2/10/2024,FALSE,0,,,,10000
423148894,1243.58,2.9,4/10/2024,4/1/2024,271.27,3/10/2024,FALSE,0,,,,2500
345599870,574.92,4.2,4/10/2024,4/1/2024,574.92,3/10/2024,FALSE,0,,,,2500
423567890,1029.37,1.5,3/10/2024,3/1/2024,164.29,2/24/2024,TRUE,0,,,,2500
345812332,4196.48,1.7,4/10/2024,4/1/2024,438.41,3/10/2024,FALSE,0,,,,5000
423168945,8521.14,2.2,5/10/2024,5/1/2024,2395.72,4/10/2024,FALSE,0,,,,10000
436789213,6339.83,1.3,3/10/2024,3/1/2024,1203.64,2/10/2024,FALSE,0,,,,10000
563432913,462.41,0.9,4/10/2024,4/1/2024,462.41,3/24/2024,TRUE,0,,,,2500
677879013,2659.97,2.6,4/10/2024,4/1/2024,547.93,3/10/2024,FALSE,0,,,,5000
235445789,5612.81,1.4,4/10/2024,4/1/2024,368.25,3/10/2024,FALSE,0,,,,10000
